BSPTwoMap v1.4b (Jan  4 2004) by Skyler 'Zipster' York
With code written by Sean 'Zoner' Cavanaugh and Valve Software
Decompiling BSP file zm_NTC_christmas...
Processing model 0 (worldspawn)...done
Processing model 1 (func_breakable)...done
Processing model 2 (func_breakable)...done
Processing model 3 (func_water)...done
Processing model 4 (trigger_teleport)...done
Processing model 5 (func_wall)...done
Processing model 6 (func_ladder)...done
Processing model 7 (func_wall)...done
Processing model 8 (func_illusionary)...done
Processing model 9 (func_illusionary)...done
Processing model 10 (func_conveyor)...done
Processing model 11 (func_breakable)...done
Processing model 12 (func_breakable)...done
Processing model 13 (func_wall)...done
Processing model 14 (func_wall)...done
Processing model 15 (func_wall)...done
Processing model 16 (func_wall)...done
Processing model 17 (func_breakable)...done
Processing model 18 (func_pushable)...done
Processing model 19 (func_pushable)...done
Processing model 20 (func_pushable)...done
Processing model 21 (func_pushable)...done
Processing model 22 (button_target)...done
Extracting included textures...Error: File read failure
